"","X.CODIGO_ENTIDAD.NOMBRE.TIPO_GESTION.ESTADO_LICENCIAMIENTO.PERIODO_LICENCIAMIENTO.CODIGO_FILIAL.NOMBRE_FILIAL.DEPARTAMENTO_FILIAL.PROVINCIA_FILIAL.CODIGO_LOCAL.DEPARTAMENTO_LOCAL.PROVINCIA_LOCAL.DISTRITO_LOCAL.LATITUD_UBICACION.LONGITUD_UBICACION.TIPO_AUTORIZACION_LOCAL.DENOMINACION_PROGRAMA.TIPO_NIVEL_ACADEMICO.NIVEL_ACADEMICO.CODIGO_CLASE_PROGRAMA_N2.NOMBRE_CLASE_PROGRAMA_N2.TIPO_AUTORIZACION_PROGRAMA.TIPO_AUTORIZACION_PROGRAMA_LOCAL"
"2014","2014,026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRION,PUBLICO,LICENCIA OTORGADA,6,S,UNDAC-PASCO,PASCO,PASCO,SL01,PASCO,PASCO,YANACANCHA,-10.6683864,-76.2527205,AUTORIZADO POR LIC.,EDUCACION SECUNDARIA: LENGUAS EXTRANJERAS: INGLES - FRANCES,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2015","2015,054,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS,PRIVADO,LICENCIA OTORGADA,6,S,UPC-LIMA,LIMA,LIMA,SL07,LIMA,LIMA,SAN MIGUEL,-12.0810086,-77.0707359,AUTORIZADO POR LIC.,ADMINISTRACION Y FINANZAS,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2016","2016,034,UNIVERSIDAD NACIONAL DE SAN MARTIN,PUBLICO,LICENCIA OTORGADA,6,S,UNSM-SAN MARTIN,SAN MARTIN,SAN MARTIN,SL02,SAN MARTIN,SAN MARTIN,MORALES,-6.484769492,-76.37760713,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIAS CON MENCION EN TECNOLOGIA DE LA INFORMACION,POSGRADO,MAESTRIA,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2017","2017,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MARTIN DE PORRES,-12.0239471,-77.0564991,AUTORIZADO POR LIC.,ANESTESIOLOGIA CARDIOVASCULAR,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2018","2018,016,UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,LICENCIA OTORGADA,6,S01,UNC-CAJAMARCA,CAJAMARCA,CAJAMARCA,S01L01,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.167159,-78.4965043,AUTORIZADO POR LIC.,OBSTETRICIA,PREGRADO,CARRERA PROFESIONAL,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2019","2019,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,F06,UTP-LA LIBERTAD,LA LIBERTAD,TRUJILLO,F06L01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.0937853,-79.0088677,AUTORIZADO POR LIC.,CONTABILIDAD,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2020","2020,029,UNIVERSIDAD DE PIURA,PRIVADO,LICENCIA OTORGADA,8,S,UDEP-PIURA,PIURA,PIURA,SL01,PIURA,PIURA,PIURA,-5.1766923,-80.6346434,AUTORIZADO POR LIC.,MAESTRIA EN EDUCACION CON MENCION EN TUTORIA Y ORIENTACION FAMILIAR,POSGRADO,MAESTRIA,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2021","2021,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL03,LIMA,LIMA,SAN ISIDRO,-12.091066,-77.052041,AUTORIZADO POR LIC.,EPIDEMIOLOGIA DE CAMPO,POSGRADO,SEGUNDA ESPECIALIDAD,2,SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2022","2022,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIA OTORGADA,8,S,UNSAAC-CUSCO,CUSCO,CUSCO,SL01,CUSCO,CUSCO,CUSCO,-13.52193,-71.9583208,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN MEDICINA HUMANA - RESIDENTADO MEDICO DE LA ESPECIALIDAD: MEDICINA INTERNA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2023","2023,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,PUBLICO,LICENCIA OTORGADA,10,S,UNSA-AREQUIPA,AREQUIPA,AREQUIPA,SL02,AREQUIPA,AREQUIPA,AREQUIPA,-16.4086078,-71.5285764,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIAS: DERECHO, CON MENCION EN DERECHO CONSTITUCIONAL Y TUTELA JURISDICCIONAL,POSGRADO,MAESTRIA,42,DERECHO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2024","2024,075,UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS,PUBLICO,LICENCIA OTORGADA,6,S,UNAMD-MADRE DE DIOS,MADRE DE DIOS,TAMBOPATA,SL01,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.5885658,-69.2095274,AUTORIZADO POR LIC.,EDUCACION: ESPECIALIDAD PRIMARIA E INFORMATICA,PREGRADO,CARRERA PROFESIONAL,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2025","2025,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,S,USMP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTA ANITA,-12.045948,-76.9681914,AUTORIZADO POR LIC.,EDUCACION CON MENCION EN MATEMATICA E INFORMATICA (VIRTUAL: SEMIPRESENCIAL),PREGRADO,CARRERA PROFESIONAL,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2026","2026,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MARTIN DE PORRES,-12.0239471,-77.0564991,AUTORIZADO POR LIC.,CARRERA PROFESIONAL DE MEDICINA VETERINARIA Y ZOOTECNIA,PREGRADO,CARRERA PROFESIONAL,84,VETERINARIA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2027","2027,015,UNIVERSIDAD CATOLICA DE SANTA MARIA,PRIVADO,LICENCIA OTORGADA,6,S,UCSM-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4061786,-71.5476298,AUTORIZADO POR LIC.,INGENIERIA DE SISTEMAS,PREGRADO,CARRERA PROFESIONAL,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2028","2028,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL04,LIMA,LIMA,LIMA,-12.0704665,-77.0367812,AUTORIZADO POR LIC.,ADMINISTRACION HOTELERA Y DE TURISMO,PREGRADO,CARRERA PROFESIONAL,1,SERVICIOS PERSONALES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2029","2029,030,UNIVERSIDAD RICARDO PALMA,PRIVADO,LICENCIA OTORGADA,6,S01,URP-LIMA,LIMA,LIMA,S01L01,LIMA,LIMA,SANTIAGO DE SURCO,-12.1318458,-76.9796463,AUTORIZADO POR LIC.,DOCTORADO EN CIENCIA POLITICA Y RELACIONES INTERNACIONALES,POSGRADO,DOCTORADO,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2030","2030,015,UNIVERSIDAD CATOLICA DE SANTA MARIA,PRIVADO,LICENCIA OTORGADA,6,S,UCSM-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4061786,-71.5476298,AUTORIZADO POR LIC.,ENFERMERIA EN CRECIMIENTO Y DESARROLLO HUMANO,POSGRADO,SEGUNDA ESPECIALIDAD,2,SERVICIOS DE HIGIENE Y SALUD OCUPACIONAL,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2031","2031,015,UNIVERSIDAD CATOLICA DE SANTA MARIA,PRIVADO,LICENCIA OTORGADA,6,S,UCSM-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4061786,-71.5476298,AUTORIZADO POR LIC.,TRATAMIENTO BIOENERGETICO,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2032","2032,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,PUBLICO,LICENCIA OTORGADA,10,S,UNSA-AREQUIPA,AREQUIPA,AREQUIPA,SL01,AREQUIPA,AREQUIPA,AREQUIPA,-16.4027681,-71.5255001,AUTORIZADO POR LIC.,INGLES COMO LENGUA EXTRANJERA,POSGRADO,MAESTRIA,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2033","2033,124,UNIVERSIDAD NACIONAL INTERCULTURAL DE LA SELVA CENTRAL JUAN SANTOS ATAHUALPA,PUBLICO,LICENCIA OTORGADA,6,F01,UNISCJSA-JUNIN,JUNIN,SATIPO,F01L01,JUNIN,SATIPO,RIO NEGRO,-11.2084381,-74.6590728,AUTORIZADO POR LIC.,EDUCACION INTERCULTURAL BILINGÜE: NIVEL INICIAL Y NIVEL PRIMARIA,PREGRADO,CARRERA PROFESIONAL,19,OTROS PROGRAMAS EN EDUCACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2034","2034,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL04,LIMA,LIMA,MIRAFLORES,-12.13402606,-77.02627908,AUTORIZADO POR LIC.,PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENDODONCIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2035","2035,068,UNIVERSIDAD CIENTIFICA DEL SUR,PRIVADO,LICENCIA OTORGADA,6,S,UCS-LIMA,LIMA,LIMA,SL03,LIMA,LIMA,MIRAFLORES,-12.1211435,-77.0256582,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN REUMATOLOGIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2036","2036,075,UNIVERSIDAD NACIONAL AMAZONICA DE MADRE DE DIOS,PUBLICO,LICENCIA OTORGADA,6,S,UNAMD-MADRE DE DIOS,MADRE DE DIOS,TAMBOPATA,SL01,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.5885658,-69.2095274,AUTORIZADO POR LIC.,INGENIERIA AGROINDUSTRIAL,PREGRADO,CARRERA PROFESIONAL,81,AGRICULTURA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2037","2037,052A,UNIVERSIDAD CESAR VALLEJO,PRIVADO,LICENCIA OTORGADA,6,F02,UPCV-LAMBAYEQUE,LAMBAYEQUE,CHICLAYO,F02L01,LAMBAYEQUE,CHICLAYO,PIMENTEL,-6.786763,-79.879361,AUTORIZADO POR LIC.,INGENIERIA DE MINAS,PREGRADO,CARRERA PROFESIONAL,72,INDUSTRIA Y PRODUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2038","2038,076,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,PUBLICO,LICENCIA OTORGADA,6,S,UNTRMA-AMAZONAS,AMAZONAS,CHACHAPOYAS,SL01,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,-6.2335409,-77.8531651,AUTORIZADO POR LIC.,DERECHO Y CIENCIAS POLITICAS,PREGRADO,CARRERA PROFESIONAL,42,DERECHO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2039","2039,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,F02,UTP-LAMBAYEQUE,LAMBAYEQUE,CHICLAYO,F02L01,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.7929064,-79.8644851,AUTORIZADO POR LIC.,INGENIERIA INDUSTRIAL,PREGRADO,CARRERA PROFESIONAL,72,INDUSTRIA Y PRODUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2040","2040,067A,UNIVERSIDAD CONTINENTAL,PRIVADO,LICENCIA OTORGADA,6,F03,UCONTINENTAL-LIMA,LIMA,LIMA,F03L01,LIMA,LIMA,MIRAFLORES,-12.1102981,-77.0279286,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIAS CON MENCION EN GESTION DE RIESGOS DE DESASTRES Y RESPONSABILIDAD SOCIAL,POSGRADO,MAESTRIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2041","2041,071,UNIVERSIDAD CATOLICA SEDES SAPIENTIAE,PRIVADO,LICENCIA OTORGADA,6,F03,UCSS-PIURA,PIURA,MORROPON,F03L01,PIURA,MORROPON,CHULUCANAS,-5.0975431,-80.1613827,AUTORIZADO POR LIC.,INGENIERIA AGROINDUSTRIAL Y DE BIOCOMERCIO,PREGRADO,CARRERA PROFESIONAL,81,AGRICULTURA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2042","2042,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIA OTORGADA,10,S,UNMSM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LIMA,-12.0560257,-77.0844226,AUTORIZADO POR LIC.,ECONOMIA,POSGRADO,MAESTRIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2043","2043,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,S,USMP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTA ANITA,-12.045948,-76.9681914,AUTORIZADO POR LIC.,RADIOTERAPIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2044","2044,018,UNIVERSIDAD DE LIMA,PRIVADO,LICENCIA OTORGADA,6,S,UL-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTIAGO DE SURCO,-12.0847243,-76.9710095,AUTORIZADO POR LIC.,CARRERA DE ADMINISTRACION,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2045","2045,057,UNIVERSIDAD SAN IGNACIO DE LOYOLA,PRIVADO,LICENCIA OTORGADA,6,S,USIL-LIMA,LIMA,LIMA,SL04,LIMA,LIMA,MAGDALENA DEL MAR,-12.0909202,-77.0709943,AUTORIZADO POR LIC.,INGENIERIA INDUSTRIAL,PREGRADO,CARRERA PROFESIONAL,72,INDUSTRIA Y PRODUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2046","2046,064A,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA,PRIVADO,LICENCIA OTORGADA,6,F02,UPSJB-ICA,ICA,CHINCHA,F02L01,ICA,CHINCHA,CHINCHA ALTA,-13.4208296,-76.1340976,AUTORIZADO POR LIC.,INGENIERIA DE COMPUTACION Y SISTEMAS,PREGRADO,CARRERA PROFESIONAL,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2047","2047,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIA OTORGADA,8,S,UNSAAC-CUSCO,CUSCO,CUSCO,SL01,CUSCO,CUSCO,CUSCO,-13.52193,-71.9583208,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD PROFESIONAL EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES MUEBLES E INMUEBLES,POSGRADO,SEGUNDA ESPECIALIDAD,22,HUMANIDADES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2048","2048,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,S,USMP-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SANTA ANITA,-12.045948,-76.9681914,AUTORIZADO POR LIC.,EMERGENCIAS PEDIATRICAS,POSGRADO,SEGUNDA ESPECIALIDAD,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2049","2049,055,UNIVERSIDAD PRIVADA DEL NORTE,PRIVADO,LICENCIA OTORGADA,6,F02,UPN-LIMA,LIMA,LIMA,F02L06,LIMA,LIMA,CHORRILLOS,-12.17926249,-77.00377846,AUTORIZADO POR LIC.,ADMINISTRACION Y SERVICIOS TURISTICOS,PREGRADO,CARRERA PROFESIONAL,1,SERVICIOS PERSONALES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2050","2050,006,UNIVERSIDAD NACIONAL DE INGENIERIA,PUBLICO,LICENCIA OTORGADA,10,S,UNI-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,RIMAC,-12.0220074,-77.0493646,AUTORIZADO POR LIC.,INGENIERIA TEXTIL,PREGRADO,CARRERA PROFESIONAL,72,INDUSTRIA Y PRODUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2051","2051,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MARTIN DE PORRES,-12.0239471,-77.0564991,AUTORIZADO POR LIC.,MAESTRIA EN QUIMICA DE LA BIODIVERSIDAD,POSGRADO,MAESTRIA,53,CIENCIAS FISICAS Y QUIMICAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2052","2052,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL03,LIMA,LIMA,SAN ISIDRO,-12.091066,-77.052041,AUTORIZADO POR LIC.,PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN CIRUGIA DE CABEZA Y CUELLO,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2053","2053,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,F02,USMP-AREQUIPA,AREQUIPA,AREQUIPA,F02L01,AREQUIPA,AREQUIPA,AREQUIPA,-9.2830256,-77.6482365,AUTORIZADO POR LIC.,ADMINISTRACION,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2054","2054,039,UNIVERSIDAD ANDINA DEL CUSCO,PRIVADO,LICENCIA OTORGADA,6,S,UAC-CUSCO,CUSCO,CUSCO,SL02,CUSCO,CUSCO,CUSCO,-13.5197131,-71.977133,AUTORIZADO POR LIC.,INGENIERIA CIVIL,POSGRADO,MAESTRIA,73,ARQUITECTURA Y CONSTRUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2055","2055,095,UNIVERSIDAD NACIONAL DE MOQUEGUA,PUBLICO,LICENCIA OTORGADA,6,S,UNM-MOQUEGUA,MOQUEGUA,MARISCAL NIETO,SL01,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,-17.6018648,-71.3409648,AUTORIZADO POR LIC.,GESTION PUBLICA Y DESARROLLO SOCIAL,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2056","2056,041,UNIVERSIDAD NACIONAL DE TUMBES,PUBLICO,LICENCIA OTORGADA,6,S,UNT-TUMBES,TUMBES,TUMBES,SL01,TUMBES,TUMBES,TUMBES,-3.585267,-80.443305,AUTORIZADO POR LIC.,PSICOLOGIA,PREGRADO,CARRERA PROFESIONAL,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2057","2057,108,UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA,PRIVADO,LICENCIA OTORGADA,6,S,UCAL-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,LA MOLINA,-12.0857224,-76.9086688,AUTORIZADO POR LIC.,COMUNICACION AUDIOVISUAL Y CINE,PREGRADO,CARRERA PROFESIONAL,21,ARTE,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2058","2058,055,UNIVERSIDAD PRIVADA DEL NORTE,PRIVADO,LICENCIA OTORGADA,6,S,UPN-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.0998876,-79.0190587,AUTORIZADO POR LIC.,COMUNICACION Y PUBLICIDAD,PREGRADO,CARRERA PROFESIONAL,32,PERIODISMO E INFORMACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2059","2059,032,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PUBLICO,LICENCIA OTORGADA,6,S,UNJBG-TACNA,TACNA,TACNA,SL02,TACNA,TACNA,TACNA,-17.9906868,-70.2425425,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIA Y TECNOLOGIA DE ALIMENTOS: ENOLOGIA,POSGRADO,MAESTRIA,72,INDUSTRIA Y PRODUCCION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2060","2060,004,UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,LICENCIA OTORGADA,8,S,UNT-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1142716,-79.0383735,AUTORIZADO POR LIC.,MAESTRIA EN CIENCIAS FISICAS,POSGRADO,MAESTRIA,53,CIENCIAS FISICAS Y QUIMICAS,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2061","2061,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL08,LIMA,LIMA,VILLA EL SALVADOR,-12.19336067,-76.97194361,AUTORIZADO POR LIC.,INGENIERIA MECATRONICA,PREGRADO,CARRERA PROFESIONAL,71,INGENIERIA Y PROFESIONES AFINES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2062","2062,065,UNIVERSIDAD TECNOLOGICA DEL PERU,PRIVADO,LICENCIA OTORGADA,6,S,UTP-LIMA,LIMA,LIMA,SL11,LIMA,LIMA,ATE,-12.01563471,-76.88472887,AUTORIZADO POR LIC.,INGENIERIA MECATRONICA,PREGRADO,CARRERA PROFESIONAL,71,INGENIERIA Y PROFESIONES AFINES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2063","2063,004,UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,LICENCIA OTORGADA,8,S,UNT-LA LIBERTAD,LA LIBERTAD,TRUJILLO,SL01,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1142716,-79.0383735,AUTORIZADO POR LIC.,SEGUNDA ESPECIALIDAD EN PERIODONCIA,POSGRADO,SEGUNDA ESPECIALIDAD,91,SALUD,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2064","2064,029,UNIVERSIDAD DE PIURA,PRIVADO,LICENCIA OTORGADA,8,S,UDEP-PIURA,PIURA,PIURA,SL01,PIURA,PIURA,PIURA,-5.1766923,-80.6346434,AUTORIZADO POR LIC.,ADMINISTRACION DE EMPRESAS,PREGRADO,CARRERA PROFESIONAL,41,ADMINISTRACION Y COMERCIO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2065","2065,032,UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN,PUBLICO,LICENCIA OTORGADA,6,S,UNJBG-TACNA,TACNA,TACNA,SL01,TACNA,TACNA,TACNA,-18.0251828,-70.2505031,AUTORIZADO POR LIC.,MATEMATICA,PREGRADO,CARRERA PROFESIONAL,54,MATEMATICAS Y ESTADISTICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2066","2066,019,UNIVERSIDAD DE SAN MARTIN DE PORRES,PRIVADO,LICENCIA OTORGADA,6,S,USMP-LIMA,LIMA,LIMA,SL06,LIMA,LIMA,SURQUILLO,-12.1052364,-77.0177466,AUTORIZADO POR LIC.,CIENCIAS DE LA COMUNICACION,PREGRADO,CARRERA PROFESIONAL,32,PERIODISMO E INFORMACION,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2067","2067,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIA OTORGADA,8,F07,UNSAAC-MADRE DE DIOS,MADRE DE DIOS,TAMBOPATA,F07L01,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,-12.5825295,-69.1932762,AUTORIZADO POR LIC.,MAESTRIA EN DERECHO MENCION DERECHO CONSTITUCIONAL Y PROCESAL CONSTITUCIONAL,POSGRADO,MAESTRIA,0,NINGUNO,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2068","2068,080,UNIVERSIDAD ANTONIO RUIZ DE MONTOYA,PRIVADO,LICENCIA OTORGADA,6,S,UARM-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,PUEBLO LIBRE,-12.0701464,-77.0586948,AUTORIZADO POR LIC.,MAESTRIA EN FILOSOFIA CON MENCION ETICA Y POLITICA,POSGRADO,MAESTRIA,22,HUMANIDADES,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2069","2069,064A,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA,PRIVADO,LICENCIA OTORGADA,6,S,UPSJB-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,CHORRILLOS,-12.196162,-77.006245,AUTORIZADO POR LIC.,INGENIERIA DE COMPUTACION Y SISTEMAS,PREGRADO,CARRERA PROFESIONAL,61,INFORMATICA,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
"2070","2070,014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,10,S,UPCH-LIMA,LIMA,LIMA,SL01,LIMA,LIMA,SAN MARTIN DE PORRES,-12.0239471,-77.0564991,AUTORIZADO POR LIC.,PROGRAMA DE SEGUNDA ESPECIALIDAD PROFESIONAL EN ENFERMERIA EN CUIDADOS INTENSIVOS NEONATALES,POSGRADO,SEGUNDA ESPECIALIDAD,92,BIENESTAR,RECONOCIDO POR LIC.,RECONOCIDO POR LIC."
